"PCA","Accuracy"
"5",0.723779782558409
"5",0.716238723108952
"5",0.725375896368263
"5",0.728348369188064
"5",0.71616932685635
"5",0.726821651630812
"5",0.737497108489475
"5",0.716342817487856
"5",0.714723571593801
"5",0.722241498959056
"5",0.722322461253759
"5",0.714688873467499
"5",0.734513069627573
"5",0.711727966689799
"5",0.704152209114041
"5",0.704048114735138
"5",0.72382604672681
"5",0.719315290307657
"5",0.720795743696507
"5",0.740446449225075
"5",0.725352764284062
"5",0.713139023826047
"5",0.714665741383299
"5",0.732974786028221
"5",0.723849178811011
"10",0.734443673374971
"10",0.728371501272265
"10",0.731436502428869
"10",0.740481147351376
"10",0.726810085588712
"10",0.742030996992829
"10",0.73294008790192
"10",0.733021050196623
"10",0.737473976405274
"10",0.738919731667823
"10",0.737473976405274
"10",0.740434883182975
"10",0.737485542447375
"10",0.73148276659727
"10",0.729921350913717
"10",0.740492713393477
"10",0.740550543603979
"10",0.726867915799214
"10",0.749606754568587
"10",0.734397409206569
"10",0.732986352070321
"10",0.729851954661115
"10",0.748045338885034
"10",0.736016655100625
"10",0.729898218829517
"25",0.752625491556789
"25",0.758767059912098
"25",0.749629886652787
"25",0.755678926671293
"25",0.748022206800833
"25",0.749583622484386
"25",0.745061300023132
"25",0.745188526486236
"25",0.752671755725191
"25",0.747987508674532
"25",0.748114735137636
"25",0.74500346981263
"25",0.746611149664585
"25",0.734455239417071
"25",0.743569280592181
"25",0.749595188526486
"25",0.742077261161231
"25",0.742042563034929
"25",0.749629886652787
"25",0.749537358315984
"25",0.757275040481147
"25",0.745095998149433
"25",0.751098773999537
"25",0.74058524173028
"25",0.748149433263937
"50",0.749595188526486
"50",0.748114735137636
"50",0.751133472125839
"50",0.746553319454083
"50",0.752567661346287
"50",0.748068470969234
"50",0.749653018736988
"50",0.745176960444136
"50",0.749641452694888
"50",0.747987508674532
"50",0.74353458246588
"50",0.748033772842933
"50",0.75116817025214
"50",0.74206569511913
"50",0.751156604210039
"50",0.745072866065232
"50",0.742088827203331
"50",0.746622715706685
"50",0.749641452694888
"50",0.749572056442285
"50",0.746645847790886
"50",0.748137867221837
"50",0.748045338885034
"50",0.746668979875087
"50",0.743603978718482
"75",0.748056904927134
"75",0.743569280592181
"75",0.748114735137636
"75",0.749595188526486
"75",0.743488318297479
"75",0.748068470969234
"75",0.746588017580384
"75",0.746692111959288
"75",0.748126301179736
"75",0.744957205644229
"75",0.749629886652787
"75",0.749560490400185
"75",0.743580846634282
"75",0.745095998149433
"75",0.749653018736988
"75",0.740527411519778
"75",0.74058524173028
"75",0.743592412676382
"75",0.749641452694888
"75",0.746553319454083
"75",0.745130696275734
"75",0.748149433263937
"75",0.749560490400185
"75",0.746680545917187
"75",0.745119130233634
"100",0.746541753411982
"100",0.746599583622484
"100",0.746599583622484
"100",0.746530187369882
"100",0.743488318297479
"100",0.746553319454083
"100",0.746588017580384
"100",0.745176960444136
"100",0.745084432107333
"100",0.749525792273884
"100",0.745072866065232
"100",0.749560490400185
"100",0.745095998149433
"100",0.748126301179736
"100",0.745095998149433
"100",0.739012260004626
"100",0.74058524173028
"100",0.748149433263937
"100",0.746599583622484
"100",0.745038167938931
"100",0.748172565348138
"100",0.748149433263937
"100",0.745015035854731
"100",0.748184131390238
"100",0.743603978718482
"150",0.746541753411982
"150",0.746599583622484
"150",0.748114735137636
"150",0.748056904927134
"150",0.74500346981263
"150",0.748068470969234
"150",0.748114735137636
"150",0.746692111959288
"150",0.746599583622484
"150",0.744968771686329
"150",0.748114735137636
"150",0.748045338885034
"150",0.746622715706685
"150",0.746599583622484
"150",0.746611149664585
"150",0.748114735137636
"150",0.743615544760583
"150",0.749664584779089
"150",0.746599583622484
"150",0.746553319454083
"150",0.748160999306038
"150",0.746634281748786
"150",0.748056904927134
"150",0.748184131390238
"150",0.746634281748786
"200",0.748056904927134
"200",0.746599583622484
"200",0.748114735137636
"200",0.746530187369882
"200",0.748033772842933
"200",0.748068470969234
"200",0.748103169095536
"200",0.746692111959288
"200",0.748126301179736
"200",0.747999074716632
"200",0.748114735137636
"200",0.748045338885034
"200",0.748137867221837
"200",0.748126301179736
"200",0.748126301179736
"200",0.748114735137636
"200",0.748172565348138
"200",0.748149433263937
"200",0.748114735137636
"200",0.748068470969234
"200",0.746645847790886
"200",0.748149433263937
"200",0.748056904927134
"200",0.748184131390238
"200",0.746634281748786
