"PCA_Number","Variance_Explained"
1,0.44521857731851
2,0.5517368209402
3,0.613204669587834
4,0.655002654474092
5,0.679390044161245
6,0.694650840572997
7,0.705941643672549
8,0.715467978082466
9,0.724075417622272
10,0.732040241341842
11,0.738595001045776
12,0.744657942809716
13,0.749868574962523
14,0.754764598716326
15,0.75910534421633
16,0.762907299970662
17,0.766429577630607
18,0.769531450812355
19,0.772381546192742
20,0.77510804622053
21,0.777691549095465
22,0.780107956651346
23,0.782259447773972
24,0.784349519082199
25,0.786321943345243
26,0.788250698221899
27,0.790119620068413
28,0.79187632482938
29,0.793509220141868
30,0.795131514894992
31,0.796637899964437
32,0.798062874916023
33,0.799480026109135
34,0.800810136178159
35,0.802081306873536
36,0.803339174490744
37,0.804553656480811
38,0.805721923201151
39,0.806818275377221
40,0.807891010991707
41,0.808959815448969
42,0.809990668817685
43,0.810978855909087
44,0.811947511346767
45,0.812902888516981
46,0.81382068313496
47,0.814732937667143
48,0.815630723799519
49,0.81650069829991
50,0.817348597859995
51,0.818178383534281
52,0.818988934335349
53,0.819776858340987
54,0.820550477450859
55,0.821306007529776
56,0.82204863122666
57,0.822785791488829
58,0.823509902021797
59,0.824226433912696
60,0.824933826290156
61,0.825631371082271
62,0.826320257286895
63,0.826996166443162
64,0.827665634131738
65,0.828321423650591
66,0.828964956845588
67,0.82960253444045
68,0.830236530574297
69,0.830863666880957
70,0.831483879108532
71,0.832095606362914
72,0.832702659631184
73,0.833301614220594
74,0.833895341341599
75,0.834484299010613
76,0.835069563934714
77,0.835645973828797
78,0.836221762020543
79,0.836789170568249
80,0.837351135033173
81,0.837905558336669
82,0.838457127633571
83,0.839005850095796
84,0.839552414387296
85,0.840096733200378
86,0.840632032183735
87,0.841161902639225
88,0.841686903038639
89,0.842205874470285
90,0.842724007979624
91,0.843239075516524
92,0.843752590812293
93,0.84426164324763
94,0.844766410944815
95,0.845268796582915
96,0.845768132136764
97,0.846263002167161
98,0.846752923189408
99,0.847242202667356
100,0.847729088157559
101,0.848211611931097
102,0.848692875342291
103,0.849171843456083
104,0.849649043687867
105,0.850124977060095
106,0.850596301168273
107,0.851066690220472
108,0.851532208694293
109,0.851996221036647
110,0.852456113900198
111,0.852914817308896
112,0.853371531591212
113,0.853826804297369
114,0.854278354450333
115,0.854729227356071
116,0.855177304025912
117,0.855622943562454
118,0.856065699574266
119,0.856506714648093
120,0.85694640471355
121,0.857384126531258
122,0.857819688988335
123,0.858252723076981
124,0.858684577171559
125,0.859116116828703
126,0.859544594413583
127,0.859971925001733
128,0.860398206472551
129,0.860821311499542
130,0.861242210475922
131,0.861661342533429
132,0.862080044139914
133,0.862496673009744
134,0.8629126445712
135,0.863326985523861
136,0.863739073142894
137,0.864148511605832
138,0.8645578276542
139,0.86496619758437
140,0.86537293262822
141,0.865778355286114
142,0.866182033207576
143,0.866584572417277
144,0.866985327344365
145,0.867384889391312
146,0.867783277405358
147,0.868179872986905
148,0.868574985305316
149,0.868969981495658
150,0.8693637254346
151,0.869757042997874
152,0.87014851516921
153,0.870539601952243
154,0.870928724406979
155,0.871315621098534
156,0.871701403334418
157,0.87208664574787
158,0.872470045073685
159,0.872852504406235
160,0.873233558774602
161,0.873613975798508
162,0.873993997962145
163,0.874372080006794
164,0.874749119244252
165,0.875124774151495
166,0.875499048364406
167,0.875872877246354
168,0.876245413593501
169,0.876616622499967
170,0.876986722868197
171,0.877356243212929
172,0.877725166575418
173,0.87809313710134
174,0.878459934213908
175,0.878825741438639
176,0.879190593081031
177,0.879554713989416
178,0.879917612402446
179,0.880280060151438
180,0.880641712603412
181,0.881002567385622
182,0.881362901223871
183,0.881722759223281
184,0.882081341525378
185,0.882438655869624
186,0.882795723956937
187,0.883151631655299
188,0.883507137936518
189,0.88386158630366
190,0.884215097232959
191,0.884568237547223
192,0.884920706342055
193,0.885272099254354
194,0.885622970140035
195,0.885973556175113
196,0.886323567461055
197,0.886672017082481
198,0.88701919469714
199,0.887365700030091
200,0.88771153600778
201,0.888055932693104
202,0.88839973396005
203,0.888743189585436
204,0.889085667606204
205,0.8894278151963
206,0.889768860878693
207,0.890109434826193
208,0.890448165503807
209,0.89078642620525
210,0.891123866252328
211,0.891460953040014
212,0.891797740903966
213,0.892133527674492
214,0.892468839179274
215,0.89280301149589
216,0.893136863193716
217,0.893470076116491
218,0.893802536036933
219,0.894134580325835
220,0.894465421817236
221,0.89479601693321
222,0.895125928142889
223,0.895455468079606
224,0.895784727151384
225,0.896113337596458
226,0.896440876375464
227,0.896768226288034
228,0.897094453291698
229,0.897419847305663
230,0.89774461941844
231,0.898068977785264
232,0.898393044813098
233,0.898716462697864
234,0.899039568477703
235,0.899361768443267
236,0.899683561692002
237,0.900004968249481
238,0.900325897042761
239,0.900645458829861
240,0.900964749332123
241,0.901283402557244
242,0.901601432637567
243,0.901919261477149
244,0.90223593228713
245,0.902552355628724
246,0.902868317417338
247,0.903183522406818
248,0.903497652925834
249,0.903811093150493
250,0.904124403724207
251,0.904437131455967
252,0.904749676017592
253,0.905061593282858
254,0.905372339042763
255,0.905682667423181
