ID,Gene Symbol
1552540_PM_s_at,IQCD
1552541_PM_at,TAGAP
1552542_PM_s_at,TAGAP
1552543_PM_a_at,STON2
1552544_PM_at,SERPINA12
1552546_PM_a_at,LETM2
1552548_PM_at,BSND
1552549_PM_a_at,BSND
1552552_PM_s_at,CLEC4C
1552553_PM_a_at,NLRC4
1552554_PM_a_at,NLRC4
1552555_PM_at,PRSS36
1552557_PM_a_at,ZDHHC15
1552558_PM_a_at,RAI1
1552559_PM_a_at,CDK15
1552562_PM_at,ZNF570
1552563_PM_a_at,
1552564_PM_at,NUDT9P1
1552566_PM_at,BTBD16
1552568_PM_at,RTP3
1552569_PM_a_at,RTP3
1552570_PM_at,C21orf29
1552572_PM_a_at,MIPOL1
1552573_PM_s_at,MIPOL1
1552575_PM_a_at,C6orf141
1552576_PM_at,ALMS1P
1552578_PM_a_at,MYO3B
1552579_PM_a_at,ADAM21
1552580_PM_at,TRIML2
1552582_PM_at,ABCC13
1552583_PM_s_at,ABCC13
1552584_PM_at,IL12RB1
1552585_PM_s_at,GTF2A1L
1552586_PM_at,TRPV3
1552587_PM_at,CNBD1
1552588_PM_a_at,CNBD1
1552590_PM_a_at,ABCC12
1552592_PM_at,MMP21
1552594_PM_at,TMEM190
1552596_PM_at,GAS2L2
1552598_PM_at,KCNG4
1552599_PM_at,PXT1
1552602_PM_at,CACNG5
1552604_PM_at,C21orf74
1552605_PM_s_at,C21orf74
1552607_PM_at,NCRNA00204
1552608_PM_at,WFDC11
1552609_PM_s_at,IL28A /// IL28B
1552610_PM_a_at,JAK1
1552611_PM_a_at,JAK1
1552612_PM_at,CDC42SE2
1552613_PM_s_at,CDC42SE2
1552615_PM_at,ACACB
1552616_PM_a_at,ACACB
1552617_PM_a_at,RFWD2
1552618_PM_at,STX6
1552619_PM_a_at,ANLN
1552620_PM_at,SPRR4
1552621_PM_at,POLR2J2
1552622_PM_s_at,LOC441259 /// POLR2J2
1552623_PM_at,HSH2D
1552625_PM_a_at,TRNT1
1552626_PM_a_at,TMEM163
1552627_PM_a_at,ARHGAP5
1552628_PM_a_at,HERPUD2
1552629_PM_a_at,JMJD6
1552630_PM_a_at,SRCAP
1552631_PM_a_at,MAP3K6
1552632_PM_a_at,ARSG
1552633_PM_at,ZNF101
1552634_PM_a_at,ZNF101
1552637_PM_at,PTPN11
1552639_PM_at,KLHDC7B
1552641_PM_s_at,ATAD3A /// ATAD3B /// LOC732419
1552643_PM_at,ZNF626
1552644_PM_a_at,PHC3
1552646_PM_at,IL11RA
1552648_PM_a_at,TNFRSF10A
1552649_PM_a_at,RFFL
1552651_PM_a_at,RFFL
1552652_PM_at,HPS4
1552656_PM_s_at,UHMK1
1552657_PM_a_at,TXNDC2
1552658_PM_a_at,NAV3
1552660_PM_a_at,C5orf22
1552661_PM_at,PCDHGB7
1552662_PM_a_at,PCDHGB7
1552663_PM_a_at,ERC1
1552664_PM_at,FLCN
1552665_PM_at,LOC84989
1552666_PM_a_at,LRRC7
1552667_PM_a_at,SH2D3C
1552669_PM_at,PPP1R3B
1552670_PM_a_at,PPP1R3B
1552671_PM_a_at,SLC9A7
1552672_PM_a_at,IGSF3
1552673_PM_at,RFX6
1552674_PM_at,DIRC1
1552675_PM_at,DNAJB7
1552676_PM_at,UCN3
1552677_PM_a_at,DIP2A
1552678_PM_a_at,USP28
1552680_PM_a_at,CASC5
1552682_PM_a_at,CASC5
1552684_PM_a_at,SENP8
1552685_PM_a_at,GRHL1
1552686_PM_at,C20orf152
1552687_PM_a_at,C20orf152
1552689_PM_at,CASKIN1
1552690_PM_a_at,CACNA2D4
1552691_PM_at,ARL11
1552693_PM_at,ARL11
1552694_PM_at,SLC2A13
1552695_PM_a_at,SLC2A13
1552696_PM_at,NIPA1
1552698_PM_at,MGC16703
1552701_PM_a_at,CARD16
1552703_PM_s_at,CARD16 /// CASP1
1552705_PM_at,DUSP19
1552708_PM_a_at,DUSP19
1552711_PM_a_at,CYB5D1
1552712_PM_a_at,NMNAT2
1552713_PM_a_at,SLC4A1
1552714_PM_at,CREG2
1552715_PM_a_at,RXFP1
1552716_PM_at,SPEF2
1552717_PM_s_at,CEP170 /// CEP170L
1552718_PM_at,DTD1
1552719_PM_at,CASC4
1552721_PM_a_at,FGF1
1552722_PM_at,ARPP21
1552724_PM_at,RHOXF1
1552725_PM_s_at,ADAMTS17
1552726_PM_at,ADAMTS17
1552727_PM_s_at,ADAMTS17
1552729_PM_at,SNHG7
1552730_PM_at,DHH
1552731_PM_at,ABRA
1552732_PM_at,ABRA
1552733_PM_at,KLHDC1
1552734_PM_at,RICTOR
1552735_PM_at,PCDHGA4
1552736_PM_a_at,NETO1
1552737_PM_s_at,WWP2
1552738_PM_a_at,ST7L
1552739_PM_s_at,ST7L
1552740_PM_at,C2orf15
1552742_PM_at,KCNH8
1552743_PM_at,MCF2L
1552745_PM_at,SLCO6A1
1552747_PM_a_at,C3orf48
1552749_PM_a_at,KLC3
1552750_PM_at,CIB3
1552751_PM_a_at,CIB3
1552752_PM_a_at,CADM2
1552754_PM_a_at,CADM2
1552755_PM_at,C9orf66
1552757_PM_s_at,C9orf66
1552758_PM_at,HDAC9
1552760_PM_at,HDAC9
1552761_PM_at,SLC16A11
1552763_PM_at,TMEM67
1552765_PM_x_at,TMEM67
1552766_PM_at,HS6ST2
1552767_PM_a_at,HS6ST2
1552768_PM_at,CAMKK1
1552769_PM_at,ZNF625
1552770_PM_s_at,ZNF563
1552771_PM_a_at,LIN9
1552772_PM_at,CLEC4D
1552773_PM_at,CLEC4D
1552774_PM_a_at,SLC25A27
1552775_PM_at,GPRC6A
1552777_PM_a_at,RAET1E
1552779_PM_a_at,SLC44A5
1552782_PM_at,SLC44A5
1552783_PM_at,ZNF417
1552785_PM_at,ZNF781
1552787_PM_at,HELB
1552788_PM_a_at,HELB
1552789_PM_at,SEC62
1552790_PM_a_at,SEC62
1552791_PM_a_at,TRDN
1552792_PM_at,SOCS4
1552793_PM_at,C8orf31
1552794_PM_a_at,ZNF547
1552796_PM_a_at,SIM1
1552797_PM_s_at,PROM2
1552798_PM_a_at,TLR4
1552799_PM_at,TSNARE1
1552800_PM_at,ABHD11
1552801_PM_at,CAPN13
1552803_PM_a_at,STMN1
1552804_PM_a_at,TIRAP
1552806_PM_a_at,SIGLEC10 /// SIGLEC12
1552807_PM_a_at,SIGLEC10 /// SIGLEC12
1552808_PM_at,ADAMTSL1
1552809_PM_at,RFX4
1552811_PM_at,WFIKKN1
1552812_PM_a_at,SENP1
1552813_PM_at,KLF14
1552814_PM_a_at,KLF14
1552816_PM_at,NXNL2
1552818_PM_a_at,BRS3
1552819_PM_at,NCRNA00205
1552822_PM_at,TMX3
1552825_PM_at,ZNF396
1552826_PM_at,SLC26A7
1552827_PM_s_at,SLC26A7
1552828_PM_at,SNX18
1552829_PM_at,
1552830_PM_at,FBXO39
1552833_PM_at,B3GNT6
1552834_PM_at,B3GNT6
1552835_PM_at,DENND1B
1552836_PM_at,ZNF619
1552837_PM_at,ICK
1552839_PM_at,FAM71D
1552841_PM_s_at,BCL2L14
1552842_PM_at,HS6ST3
1552843_PM_at,SLC26A1
1552845_PM_at,CLDN15
1552846_PM_s_at,RAB42
1552848_PM_a_at,PTCHD1
1552849_PM_at,C2orf65
1552851_PM_at,ZSCAN4
1552852_PM_a_at,ZSCAN4
1552853_PM_at,VWA5B1
1552854_PM_a_at,VWA5B1
1552856_PM_at,TMEM148
1552857_PM_a_at,HTR6
1552858_PM_at,MAGEB6
1552860_PM_at,TCEB3C
1552862_PM_at,C1orf104
1552863_PM_a_at,CACNG6
1552865_PM_a_at,IFLTD1
1552867_PM_at,
1552868_PM_at,C19orf23
1552870_PM_s_at,C1orf125
1552872_PM_at,NCRNA00105
1552873_PM_s_at,NCRNA00105
1552875_PM_a_at,CD200R1
1552876_PM_at,C21orf89
1552877_PM_s_at,C21orf89
1552878_PM_at,ATOH7
1552879_PM_a_at,ATOH7
1552880_PM_at,SEC16B
1552882_PM_a_at,FAM123B
1552884_PM_at,NKX6-3
1552885_PM_a_at,NKX6-3
1552887_PM_at,C10orf27
1552889_PM_a_at,EXOC3L2
1552890_PM_a_at,CABP4
1552892_PM_at,TNFRSF13C
1552893_PM_at,CAMK2N2
1552895_PM_a_at,C21orf99
1552897_PM_a_at,KCNG3
1552898_PM_a_at,KCNG3
1552899_PM_at,MGC34034
1552900_PM_a_at,MGC34034
1552902_PM_a_at,FOXP2
1552903_PM_at,B4GALNT2
1552904_PM_at,NETO1
1552906_PM_at,FMR1NB
1552908_PM_at,C1orf150
1552910_PM_at,SIGLEC11
1552911_PM_at,SIGLEC11
1552912_PM_a_at,IL23R
1552913_PM_at,MAGEB18
1552914_PM_a_at,CD276
1552915_PM_at,IL28A
1552917_PM_at,IL29
1552919_PM_at,C4orf36
1552921_PM_a_at,FIGNL1
1552922_PM_at,RIMS1
1552923_PM_a_at,PITPNM2
1552924_PM_a_at,PITPNM2
1552925_PM_at,PCDH10
1552927_PM_at,TAB3
1552928_PM_s_at,TAB3
1552929_PM_at,GRK7
1552930_PM_at,MMEL1
1552931_PM_a_at,PDE8A
1552932_PM_at,NLRP6
1552933_PM_at,AKNAD1
1552935_PM_at,ZCCHC5
1552937_PM_s_at,ATRIP
1552938_PM_at,ZIC5
1552939_PM_at,ANGPT1
1552940_PM_at,TEDDM1
1552942_PM_at,FLJ30430
1552943_PM_at,GABRG1
1552944_PM_a_at,PANX2
1552946_PM_at,ZNF114
1552947_PM_x_at,ZNF114
1552948_PM_at,CCDC27
1552950_PM_at,C15orf26
1552952_PM_at,RBMY2FP
1552953_PM_a_at,NEUROD2
1552954_PM_at,C5orf17
1552955_PM_at,
1552957_PM_at,DNAH6
1552960_PM_at,LRRC15
1552961_PM_at,
1552964_PM_at,C10orf93
1552965_PM_a_at,B3GNT7
1552967_PM_at,ZNF645
1552969_PM_a_at,ZMYM6
1552970_PM_s_at,ZMYM6
1552971_PM_at,SGCZ
1552972_PM_at,
1552973_PM_at,WNT9B
1552974_PM_at,
1552975_PM_x_at,
1552976_PM_at,
1552977_PM_a_at,CNPY3
1552978_PM_a_at,SCAMP1
1552979_PM_at,C2orf52
1552980_PM_at,HAS3
1552982_PM_a_at,FGF4
1552985_PM_at,SLC30A8
1552986_PM_at,LOC142937
1552987_PM_a_at,MGC42157
1552988_PM_at,C11orf65
1552990_PM_at,FAM71E2
1552991_PM_at,OR5P2
1552993_PM_at,DYDC1
1552995_PM_at,IL27
1552997_PM_a_at,IQCF1
1552998_PM_at,DEFB125
1552999_PM_a_at,WFDC10B
1553002_PM_at,DEFB105A /// DEFB105B
1553003_PM_at,PKHD1
1553004_PM_at,PKD1L1
1553006_PM_at,GPR112
1553007_PM_a_at,ODZ1
1553009_PM_s_at,REXO1L1
1553011_PM_at,TAF1L
1553013_PM_at,CNTNAP5
1553015_PM_a_at,RECQL4
1553016_PM_at,GPR113
1553019_PM_at,TMC2
1553020_PM_at,SMCR5
1553021_PM_s_at,BICD2
1553022_PM_at,ZIM3
1553023_PM_a_at,NOX5
1553024_PM_at,G30
1553025_PM_at,GPR126
1553027_PM_a_at,KLHL4
1553028_PM_at,GPR156
1553030_PM_a_at,SUOX
1553031_PM_at,GPR115
1553032_PM_at,IL31RA
1553033_PM_at,SYTL5
1553034_PM_at,SDCCAG8
1553036_PM_at,GPR111
1553037_PM_a_at,SYN2
1553039_PM_a_at,ASB10
1553041_PM_at,HTR3C
1553042_PM_a_at,NFKBID
1553043_PM_a_at,CD300LF
1553044_PM_at,GJA10
1553045_PM_at,WNT9A
